Date,Q_m3s,Sal_gperL,Temp_degC,TSS_mgperL,DO_mmolperm3,SiO2_mmolperm3,Ammonia mmolperm3,NOx_mmolperm3,FRP_mmolperm3,FRP_ADS_mmolperm3,DOC_mmolperm3,POC_mmolperm3,DON_mmolperm3,PON_mmolperm3,DOP_mmolperm3,POP_mmolperm3,PHY_GRN_mmolperm3,PHY_BGA_mmolperm3,PHY_FDIA_mmolperm3,PHY_MDIA_mmolperm3,Crypto_cfuper100mL,Ecoli_cfuper100mL,FC_cfuper100mL,Enterococci_cfuper100mL,TN_mgperL,TP_mgperL
27/02/2012 00:00:00,0.235136,0.388892,22.460972,2.189853,198.159254,0.000000,1.428571,437.754668,0.167574,   NaN,3918.483271,248.183396,372.920146,8.050932,0.003420,0.081780,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,2.081496,1.000000,439.183239,0.252774
28/02/2012 00:00:00,0.137823,0.452521,22.417401,2.186805,198.509970,0.000000,54.514629,443.559711,0.128311,   NaN,3918.828753,247.837914,410.526226,8.039725,0.002619,0.062619,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.500000,1.000000,498.074339,0.193548
29/02/2012 00:00:00,0.238552,0.542000,22.372227,1.000000,198.880553,0.000000,117.815854,296.187044,0.256622,   NaN,4053.333333,113.333333,265.042038,3.676471,0.005237,0.125237,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.500000,1.000000,414.002898,0.387097
01/03/2012 00:00:00,0.317665,0.421758,22.325462,1.945447,199.270894,0.000000,53.088242,504.116817,0.376126,   NaN,3946.182621,220.484046,478.707551,7.152380,0.007676,0.183557,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,1.680822,1.000000,557.205059,0.567359
02/03/2012 00:00:00,0.568085,0.495894,22.277121,2.598783,199.680877,0.000000,12.933670,503.692436,0.707159,   NaN,3872.137970,294.528696,492.709516,9.554348,0.014432,0.345108,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,2.373326,1.000000,516.626106,1.066699
03/03/2012 00:00:00,0.467830,0.409747,22.227218,1.000000,200.110382,0.000000,107.017060,359.563971,0.128311,   NaN,4053.333333,113.333333,354.458929,3.676471,0.002619,0.062619,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,4.353298,1.000000,466.581031,0.193548
04/03/2012 00:00:00,0.293782,0.433615,22.175767,1.000000,200.559279,0.000000,1.428571,457.180756,0.502006,   NaN,4053.333333,113.333333,452.075714,3.676471,0.010245,0.244990,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.500000,1.000000,458.609327,0.757241
05/03/2012 00:00:00,0.418501,0.483100,22.122785,2.154846,201.027438,0.000000,1.428571,594.348094,0.128311,   NaN,3922.450841,244.215826,584.997297,7.922226,0.002619,0.062619,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,1.574139,1.000000,595.776666,0.193548
06/03/2012 00:00:00,0.270098,0.574000,22.068285,1.000000,201.514719,0.000000,1.428571,362.123598,0.256622,   NaN,4053.333333,113.333333,331.932974,3.676471,0.005237,0.125237,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.500000,1.000000,363.552170,0.387097
07/03/2012 00:00:00,0.284106,0.473665,22.012286,1.645141,202.020978,0.000000,14.518681,534.845856,0.128311,   NaN,3980.217324,186.449343,415.219812,6.048313,0.002619,0.062619,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,3.347445,1.000000,549.364538,0.193548
08/03/2012 00:00:00,0.829992,0.453642,21.954803,8.219540,202.546065,0.000000,38.407210,524.644353,7.052016,   NaN,3235.118790,931.547877,353.935744,30.218897,0.143919,3.441534,0.000000,0.000000,0.000000,0.000000,   NaN,22080.089306,1701.278973,1257.649526,563.051563,10.637468
09/03/2012 00:00:00,0.598589,0.476928,21.895853,3.903388,203.089825,0.000000,13.533361,329.164828,2.777043,   NaN,3724.282698,442.383968,275.316512,14.350691,0.056674,1.355256,0.000000,0.000000,0.000000,0.000000,   NaN,6362.982493,492.100188,363.097466,342.698189,4.188974
10/03/2012 00:00:00,0.303478,0.412578,21.835453,1.243060,203.652097,0.000000,43.212898,440.180725,0.128311,   NaN,4025.786499,140.880168,351.704670,4.570075,0.002619,0.062619,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,2.772408,1.000000,483.393624,0.193548
11/03/2012 00:00:00,0.228272,0.420282,21.773623,1.334782,204.232714,0.000000,22.478215,275.459648,1.115302,   NaN,4015.391373,151.275293,233.420911,4.907287,0.022761,0.544291,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.500000,1.000000,297.937863,1.682354
12/03/2012 00:00:00,0.215302,0.582000,21.710379,1.000000,204.831504,0.000000,15.050005,587.384509,0.278008,   NaN,4053.333333,113.333333,582.279467,3.676471,0.005674,0.135674,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.500000,1.000000,602.434514,0.419355
13/03/2012 00:00:00,0.210416,0.431942,21.645741,1.000000,205.448290,0.000000,2.141749,597.738221,0.483350,   NaN,4053.333333,113.333333,592.633179,3.676471,0.009864,0.235885,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,2.275344,1.000000,599.879969,0.729100
14/03/2012 00:00:00,0.197839,0.397375,21.579728,1.334263,206.082890,0.000000,91.863203,532.970590,0.128311,   NaN,4015.450176,151.216491,526.636640,4.905379,0.002619,0.062619,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,0.500000,1.000000,624.833794,0.193548
15/03/2012 00:00:00,0.188801,0.514660,21.512359,1.000000,206.735116,0.000000,1.428571,450.724893,1.331725,   NaN,4053.333333,113.333333,433.843916,3.676471,0.027178,0.649910,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,1.961700,1.000000,452.153465,2.008813
16/03/2012 00:00:00,0.193980,0.438392,21.443654,1.761181,207.404774,0.000000,1.428571,448.597635,0.282934,   NaN,3967.066147,199.600520,438.542129,6.474930,0.005774,0.138078,0.000000,0.000000,0.000000,0.000000,   NaN,1.000000,1.041644,1.000000,450.026207,0.426785
